ip,category,confidence,first_seen,last_seen,tags
109.160.32.90,ssh-exploit,90,2026-09-23,2026-09-24,bruteforce|exploit|gpu-probing|honeypot|ssh
139.19.117.129,ssh-bruteforce,90,2026-09-14,2026-09-24,bruteforce|honeypot|ssh
157.173.111.223,mcp-abuse,90,2026-09-19,2026-09-24,abuse|honeypot|mcp
185.246.128.133,ssh-bruteforce,90,2026-09-14,2026-09-24,bruteforce|honeypot|ssh
80.94.92.55,ssh-exploit,90,2026-09-18,2026-09-24,bruteforce|exploit|gpu-probing|honeypot|ssh
109.160.32.80,ssh-exploit,90,2026-09-19,2026-09-24,bruteforce|exploit|gpu-probing|honeypot|ssh
157.10.100.12,ssh-exploit,90,2026-09-24,2026-09-24,bruteforce|exploit|honeypot|ssh
176.53.159.196,ssh-bruteforce,90,2026-09-14,2026-09-24,bruteforce|honeypot|ssh
185.246.130.20,ssh-bruteforce,90,2026-09-14,2026-09-24,bruteforce|honeypot|ssh
193.46.255.86,ssh-bruteforce,90,2026-09-15,2026-09-24,bruteforce|honeypot|ssh
2.57.121.112,ssh-bruteforce,90,2026-09-15,2026-09-24,bruteforce|honeypot|ssh
2.57.121.25,ssh-bruteforce,90,2026-09-15,2026-09-24,bruteforce|honeypot|ssh
217.60.242.21,vllm-abuse,90,2026-09-16,2026-09-24,abuse|honeypot|vllm
23.175.50.52,ssh-bruteforce,90,2026-09-21,2026-09-24,bruteforce|honeypot|ssh
45.148.10.183,ssh-exploit,90,2026-09-24,2026-09-24,bruteforce|exploit|gpu-probing|honeypot|ssh
77.90.185.20,ssh-bruteforce,90,2026-09-17,2026-09-24,bruteforce|exploit|honeypot|ssh
98.94.249.77,redis-exploit,90,2026-09-24,2026-09-24,exploit|honeypot|redis
